Median Listing Price,Zip Code,Year,Month
289900.0,78729,2017,8
299900.0,78729,2017,9
312000.0,78729,2017,10
311000.0,78729,2017,11
299995.0,78729,2017,12
299475.0,78729,2018,1
299990.0,78729,2018,2
309995.0,78729,2018,3
310000.0,78729,2018,4
707495.0,78730,2017,2
757450.0,78730,2017,3
799950.0,78730,2017,4
750000.0,78730,2017,5
775000.0,78730,2017,6
744000.0,78730,2017,7
737000.0,78730,2017,8
692000.0,78730,2017,9
799000.0,78730,2017,10
815000.0,78730,2017,11
798000.0,78730,2017,12
659995.0,78730,2018,1
699000.0,78730,2018,2
790000.0,78730,2018,3
857450.0,78730,2018,4
472000.0,78731,2010,1
475000.0,78731,2010,2
478500.0,78731,2010,3
475000.0,78731,2010,4
484900.0,78731,2010,5
489000.0,78731,2010,6
474900.0,78731,2010,7
470000.0,78731,2010,8
472475.0,78731,2010,9
465000.0,78731,2010,10
450000.0,78731,2010,11
439000.0,78731,2010,12
437750.0,78731,2011,1
439000.0,78731,2011,2
439993.5,78731,2011,3
449000.0,78731,2011,4
450000.0,78731,2011,5
450000.0,78731,2011,6
439943.5,78731,2011,7
430950.0,78731,2011,8
425700.0,78731,2011,9
435000.0,78731,2011,10
431000.0,78731,2011,11
425000.0,78731,2011,12
429900.0,78731,2012,1
449000.0,78731,2012,2
459000.0,78731,2012,3
497750.0,78731,2012,4
519900.0,78731,2012,5
549000.0,78731,2012,6
519900.0,78731,2012,7
539999.0,78731,2012,8
529450.0,78731,2012,9
521950.0,78731,2012,10
514950.0,78731,2012,11
479999.0,78731,2012,12
507500.0,78731,2013,1
519000.0,78731,2013,2
519000.0,78731,2013,3
599000.0,78731,2013,4
589000.0,78731,2013,5
549900.0,78731,2013,6
